# de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma|value  # webanno.custom.Tex | LayoutElement # webanno.custom.LetterEntity | entity_id | value
#id=1
#text=Mommsen an Brunn ohne Ort / ohne Datum (93) We%hgeschätzter Brunn, vivat sequens !
1-1	Mommsen	NN	<unknown>	_	B-webanno.custom.LetterEntity_	B-PERmentioned	
1-2	an	APPR	an	_	O	O	
1-3	Brunn	NN	Brunn	_	O	O	
1-4	ohne	APPR	ohne	_	O	O	
1-5	Ort	NN	Ort	_	O	O	
1-6	/	$(	/	_	O	O	
1-7	ohne	APPR	ohne	_	O	O	
1-8	Datum	NN	Datum	_	O	O	
1-9	(	$(	(	_	O	O	
1-10	93	CARD	93	_	O	O	
1-11	)	$(	)	_	O	O	
1-12	We%hgeschätzter	NN	<unknown>	_	O	O	
1-13	Brunn	NN	Brunn	_	O	O	
1-14	,	$,	,	_	O	O	
1-15	vivat	ADJA	<unknown>	_	O	O	
1-16	sequens	NN	<unknown>	_	O	O	
1-17	!	$.	!	_	O	O	

#id=2
#text=Dein melancholischer Brief mit den herzverheerenden Klagen, daß Du keinen Brack, aber wohl eine Braut habest, hätte mich beinah mit sentimental gemacht; jetzt magst Du Dich hoffentlich in Hoffnung betrinken, welche edle Kunst und Freimaurerei diejenige war, wovon ich mir Dein nicht unwürdiger Schüler zu sein schmeichle•
2-1	Dein	PPOSAT	dein	_	O	O	
2-2	melancholischer	ADJA	melancholisch	_	O	O	
2-3	Brief	NN	Brief	_	O	O	
2-4	mit	APPR	mit	_	O	O	
2-5	den	ART	die	_	O	O	
2-6	herzverheerenden	ADJA	<unknown>	_	O	O	
2-7	Klagen	NN	Klage|Klagen	_	O	O	
2-8	,	$,	,	_	O	O	
2-9	daß	KOUS	dass	_	O	O	
2-10	Du	PPER	du	_	O	O	
2-11	keinen	PIAT	keine	_	O	O	
2-12	Brack	NN	Brack	_	O	O	
2-13	,	$,	,	_	O	O	
2-14	aber	KON	aber	_	O	O	
2-15	wohl	ADV	wohl	_	O	O	
2-16	eine	ART	eine	_	O	O	
2-17	Braut	NN	Braut	_	O	O	
2-18	habest	VAFIN	haben	_	O	O	
2-19	,	$,	,	_	O	O	
2-20	hätte	VAFIN	haben	_	O	O	
2-21	mich	PRF	ich	_	O	O	
2-22	beinah	ADV	beinah	_	O	O	
2-23	mit	APPR	mit	_	O	O	
2-24	sentimental	ADJD	sentimental	_	O	O	
2-25	gemacht	VVPP	machen	_	O	O	
2-26	;	$.	;	_	O	O	
2-27	jetzt	ADV	jetzt	_	O	O	
2-28	magst	VMFIN	mögen	_	O	O	
2-29	Du	PPER	du	_	O	O	
2-30	Dich	PPER	du	_	O	O	
2-31	hoffentlich	ADV	hoffentlich	_	O	O	
2-32	in	APPR	in	_	O	O	
2-33	Hoffnung	NN	Hoffnung	_	O	O	
2-34	betrinken	VVINF	betrinken	_	O	O	
2-35	,	$,	,	_	O	O	
2-36	welche	PRELS	welche	_	O	O	
2-37	edle	ADJA	edel	_	O	O	
2-38	Kunst	NN	Kunst	_	O	O	
2-39	und	KON	und	_	O	O	
2-40	Freimaurerei	NN	<unknown>	_	O	O	
2-41	diejenige	PDS	diejenige	_	O	O	
2-42	war	VAFIN	sein	_	O	O	
2-43	,	$,	,	_	O	O	
2-44	wovon	PWAV	wovon	_	O	O	
2-45	ich	PPER	ich	_	O	O	
2-46	mir	PRF	ich	_	O	O	
2-47	Dein	PPOSAT	dein	_	O	O	
2-48	nicht	PTKNEG	nicht	_	O	O	
2-49	unwürdiger	ADJA	unwürdig	_	O	O	
2-50	Schüler	NN	Schüler	_	O	O	
2-51	zu	PTKZU	zu	_	O	O	
2-52	sein	VAINF	sein	_	O	O	
2-53	schmeichle	VVFIN	schmeicheln	_	O	O	
2-54	•	ADJD	<unknown>	_	O	O	

