# de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma|value  # webanno.custom.Tex | LayoutElement # webanno.custom.LetterEntity | entity_id | value
#id=1
#text=2 beitet • Gerhard an Henzen 6/111/1847 •••••••••• nichts als Seccature!
1-1	2	CARD	2	_	O	O	
1-2	beitet	VVFIN	<unknown>	_	O	O	
1-3	•	NN	<unknown>	_	O	O	
1-4	Gerhard	NE	Gerhard	_	B-webanno.custom.LetterEntity_	B-PERauthor	
1-5	an	APPR	an	_	O	O	
1-6	Henzen	NN	<unknown>	_	B-webanno.custom.LetterEntity_	B-PERmentioned	
1-7	6/111/1847	CARD	@card@	_	O	O	
1-8	•	ADJA	<unknown>	_	O	O	
1-9	•	NN	<unknown>	_	O	O	
1-10	•	ADJA	<unknown>	_	O	O	
1-11	•	NN	<unknown>	_	O	O	
1-12	•	ADJA	<unknown>	_	O	O	
1-13	•	NN	<unknown>	_	O	O	
1-14	•	ADJA	<unknown>	_	O	O	
1-15	•	NN	<unknown>	_	O	O	
1-16	•	ADJA	<unknown>	_	O	O	
1-17	•	NN	<unknown>	_	O	O	
1-18	nichts	PIS	nichts	_	O	O	
1-19	als	KOKOM	als	_	O	O	
1-20	Seccature	NN	<unknown>	_	O	O	
1-21	!	$.	!	_	O	O	

#id=2
#text=aber es gibt auch n~ch eben voll •••••••••• ten festtagen nichts erheblich Neues.
2-1	aber	KON	aber	_	O	O	
2-2	es	PPER	es	_	O	O	
2-3	gibt	VVFIN	geben	_	O	O	
2-4	auch	ADV	auch	_	O	O	
2-5	n~ch	VVFIN	<unknown>	_	O	O	
2-6	eben	ADV	eben	_	O	O	
2-7	voll	ADJD	voll	_	O	O	
2-8	•	ADJA	<unknown>	_	O	O	
2-9	•	NN	<unknown>	_	O	O	
2-10	•	ADJA	<unknown>	_	O	O	
2-11	•	NN	<unknown>	_	O	O	
2-12	•	ADJA	<unknown>	_	O	O	
2-13	•	NN	<unknown>	_	O	O	
2-14	•	ADJA	<unknown>	_	O	O	
2-15	•	NN	<unknown>	_	O	O	
2-16	•	ADJA	<unknown>	_	O	O	
2-17	•	NN	<unknown>	_	O	O	
2-18	ten	NE	ten	_	O	O	
2-19	festtagen	ADJD	<unknown>	_	O	O	
2-20	nichts	PIS	nichts	_	O	O	
2-21	erheblich	ADJD	erheblich	_	O	O	
2-22	Neues	NN	Neue	_	O	O	
2-23	.	$.	.	_	O	O	

#id=3
#text=Friedlaender ist noch nicht hier ••••••••• kommt wol morgen.
3-1	Friedlaender	ADJD	<unknown>	_	B-webanno.custom.LetterEntity_	B-PERmentioned	
3-2	ist	VAFIN	sein	_	O	O	
3-3	noch	ADV	noch	_	O	O	
3-4	nicht	PTKNEG	nicht	_	O	O	
3-5	hier	ADV	hier	_	O	O	
3-6	•	ADJD	<unknown>	_	O	O	
3-7	•	ADJA	<unknown>	_	O	O	
3-8	•	NN	<unknown>	_	O	O	
3-9	•	ADJA	<unknown>	_	O	O	
3-10	•	NN	<unknown>	_	O	O	
3-11	•	ADJA	<unknown>	_	O	O	
3-12	•	NN	<unknown>	_	O	O	
3-13	•	ADJA	<unknown>	_	O	O	
3-14	•	NN	<unknown>	_	O	O	
3-15	kommt	VVFIN	kommen	_	O	O	
3-16	wol	ADJD	<unknown>	_	O	O	
3-17	morgen	ADV	morgen	_	O	O	
3-18	.	$.	.	_	O	O	

#id=4
#text=• • • • • • • • Meine Frau grüßt mit mir.
4-1	•	ADJA	<unknown>	_	O	O	
4-2	•	NN	<unknown>	_	O	O	
4-3	•	ADJA	<unknown>	_	O	O	
4-4	•	NN	<unknown>	_	O	O	
4-5	•	ADJA	<unknown>	_	O	O	
4-6	•	NN	<unknown>	_	O	O	
4-7	•	ADJA	<unknown>	_	O	O	
4-8	•	NN	<unknown>	_	O	O	
4-9	Meine	PPOSAT	mein	_	O	O	
4-10	Frau	NN	Frau	_	O	O	
4-11	grüßt	VVFIN	grüßen	_	O	O	
4-12	mit	APPR	mit	_	O	O	
4-13	mir	PPER	ich	_	O	O	
4-14	.	$.	.	_	O	O	

#id=5
#text=Herzlich der Ihrige Gerhard • • • • • • • • Horkels Beischluß, den ich ungelesen brief ausschneide
5-1	Herzlich	ADJD	herzlich	_	O	O	
5-2	der	ART	die	_	O	O	
5-3	Ihrige	PPOSAT	ihrige	_	O	O	
5-4	Gerhard	NE	Gerhard	_	B-webanno.custom.LetterEntity_	B-PERauthor	
5-5	•	ADJA	<unknown>	_	O	O	
5-6	•	NN	<unknown>	_	O	O	
5-7	•	ADJA	<unknown>	_	O	O	
5-8	•	NN	<unknown>	_	O	O	
5-9	•	ADJA	<unknown>	_	O	O	
5-10	•	NN	<unknown>	_	O	O	
5-11	•	ADJD	<unknown>	_	O	O	
5-12	•	ADJA	<unknown>	_	O	O	
5-13	Horkels	NN	<unknown>	_	O	O	
5-14	Beischluß	NN	<unknown>	_	O	O	
5-15	,	$,	,	_	O	O	
5-16	den	PRELS	die	_	O	O	
5-17	ich	PPER	ich	_	O	O	
5-18	ungelesen	ADJA	<unknown>	_	O	O	
5-19	brief	NN	Brief	_	O	O	
5-20	ausschneide	VVFIN	<unknown>	_	O	O	

